,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1421,goats,3,female,1,Garbatulla,Isiolo,1.788,1.759,1.7735,190.2896996,Positive,1,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1422,goats,3,male,0,Garbatulla,Isiolo,1.812,1.787,1.7995,193.0793991,Positive,1,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1423,sheep,1,male,0,Garbatulla,Isiolo,0.058,0.064,0.061,8.695652174,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1424,sheep,1,male,0,Garbatulla,Isiolo,0.048,0.048,0.048,6.842480399,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1425,sheep,1,female,1,Garbatulla,Isiolo,0.055,0.064,0.0595,8.481824661,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1426,sheep,1,female,1,Garbatulla,Isiolo,0.046,0.059,0.0525,7.483962937,Negative,0,young_adults,2,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1427,sheep,1,male,0,Garbatulla,Isiolo,0.048,0.041,0.0445,4.991587213,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1428,goats,3,female,1,Garbatulla,Isiolo,0.069,0.082,0.0755,8.100858369,Negative,0,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1429,goats,3,female,1,Garbatulla,Isiolo,0.056,0.059,0.0575,6.169527897,Negative,0,young_adults,2,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1430,goats,3,female,1,Garbatulla,Isiolo,0.056,0.054,0.055,5.901287554,Negative,0,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1431,goats,3,female,1,Garbatulla,Isiolo,0.492,0.48,0.486,52.14592275,Positive,1,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1432,goats,3,female,1,Garbatulla,Isiolo,0.065,0.06,0.0625,6.706008584,Negative,0,adults,1,222,222,222,268,0.0833911,6.499529839,0.527918756,grassland,1538,268,180,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
